COUNTRY,CODE,YEAR,Import+Exports/GDP,GDP Growth,Inflation,Democracy Scale,Autocracy Scale,Per Capita GDP in 1995 USD,Percentage of Urban Population,Value Added of Manufacturing Sector (%GDP),Capital Openness,GDP per Capita in PPP values,Age Dependency Ratio,% of Population over 65,Real Exchange Rate,Social Expenditures as % of GDP,Social Exp. As a Percent of Public Spending,Per Capita Social Expenditures,Social Security Exp/GDP,Social Sec. Exp./Public Spending,Per-capita Social Security Exp.,Health and Educ/ GDP,Health and Education/Public Spending,Per Capita Health and Education ,Popularly-based Governments
ARGENTINA73,1,1973,13.3221,2.984,61.24,6,0,7844.648,79.78,34.33405,42,4014,57.746,7.327803,0.8936822,11.42857,50,672.3984,5.714286,33.33333,448.2656,2.857143,16.66667,224.1328,0
ARGENTINA74,1,1974,13.1916,5.4,23.4749,6,0,8115.477,80.24,34.03688,42,4154,57.9886,7.454409,0.8036519,12.2449,40,662.4879,6.122449,30,496.8659,2.040816,10,165.622,1
ARGENTINA75,1,1975,11.8027,-0.2,182.9264,6,0,7984.952,80.7,38.21511,42.3,4117,58.2321,7.581102,2.267481,12.58741,40.74074,614.2271,4.895105,25.92593,390.8718,2.797203,14.81481,223.3553,1
ARGENTINA76,1,1976,15.0969,-1.1,443.9643,0,9,7784.586,81.14,39.11675,42,4530,59.1568,7.686796,1.687307,8.695652,36.06557,451.2803,3.689065,22.95082,287.1784,2.108037,13.11475,164.1019,0
ARGENTINA77,1,1977,16.9423,6.9,176.0026,0,9,8188.496,81.58,36.59497,42,4608,60.0921,7.792665,1.89599,8.600096,39.93056,449.9174,3.726708,27.08333,305.1613,1.767797,12.84722,144.756,0
ARGENTINA78,1,1978,14.3238,-4.36,175.515,0,9,7701.403,82.02,34.1276,60,5627,61.0381,7.898712,1.445349,11.53993,46.90909,569.4388,5.292319,33.57576,407.5828,2.101643,13.33333,161.856,0
ARGENTINA79,1,1979,12.8407,8.89,159.5078,0,9,8274.682,82.46,32.68515,70,6429,61.995,8.004934,1.026389,11.8386,50.18034,646.2962,6.063158,38.95401,501.707,1.747368,11.22633,144.5892,0
ARGENTINA80,1,1980,11.5457,3.51,100.7638,0,9,8435.965,82.9,29.4761,80,6427,62.9631,8.111333,0.8094462,10.00781,50.84298,549.8755,5.036458,39.28499,424.8739,1.481771,11.55799,125.0017,0
ARGENTINA81,1,1981,14.293,-5.42,104.4764,0,8,7853.408,83.28,28.76524,80,6307,63.4272,8.188394,1.046533,10.66363,50.0048,547.6581,5.548568,39.78701,435.7517,1.42494,10.21779,111.9063,0
ARGENTINA82,1,1982,15.6115,-3.16,164.7769,0,8,7493.345,83.66,31.36026,80,6476,63.894,8.265501,2.470557,7.725609,46.56292,378.6107,4.031668,37.15418,302.1068,1.020959,9.408738,76.50399,0
ARGENTINA83,1,1983,14.9877,4.11,343.8094,8,0,7686.429,84.04,30.66947,38,6791,64.3635,8.342655,2.333893,9.13242,47.72727,442.2329,4.56621,37.87879,350.9785,1.187215,9.848485,91.25441,0
ARGENTINA84,1,1984,12.3464,2,626.7198,8,0,7738.245,84.42,29.70844,37.6,6535,64.8358,8.419856,2.15231,8.926539,56.86274,425.6084,4.235681,43.79085,327.7674,1.264382,13.0719,97.841,0
ARGENTINA85,1,1985,18.0094,-6.95,672.1803,8,0,7094.539,84.8,29.64185,40,7450,65.3109,8.497104,2.567904,10.03959,45.07466,500.5629,5.760603,36.80154,408.6883,1.295005,8.273122,91.87462,0
ARGENTINA86,1,1986,14.486,7.14,90.0968,8,0,7477.275,85.14,27.4196,40,8239,65.341,8.585195,2.156108,10.00601,43.62329,481.8588,5.175281,35.03288,386.9699,1.26903,8.590413,94.88889,0
ARGENTINA87,1,1987,15.449,2.59,131.3269,8,0,7560.865,85.48,27.49665,40,8362,65.3712,8.673319,2.196702,9.631836,44.29376,468.8761,4.824704,34.46091,364.7894,1.37665,9.832853,104.0867,0
ARGENTINA88,1,1988,15.7435,-1.89,342.9548,8,0,7295.835,85.82,27.99968,40,7957,65.4015,8.761477,2.107993,8.61987,56.01698,409.1139,4.379536,43.75006,319.5237,1.227963,12.26693,89.59013,0
ARGENTINA89,1,1989,19.6378,-6.94,3079.809,8,0,6697.536,86.16,30.94932,70,7448,65.4318,8.849669,3.360909,7.737361,55.83039,326.2055,3.668311,42.04947,245.6864,1.202219,13.78092,80.51908,0
ARGENTINA90,1,1990,14.9909,-1.83,2313.966,8,0,6486.918,86.5,26.7897,82.1,8408,65.4622,8.937895,1.690227,9.069674,63.40183,397.844,4.844607,50.0825,314.2657,1.288413,13.31933,83.5783,1
ARGENTINA91,1,1991,13.7531,10.58,171.672,8,0,7099.521,86.88,24.38645,95,9586,64.7767,9.032454,1.267925,10.05373,62.95834,454.861,5.068049,49.80173,359.8072,1.338876,13.15661,95.05378,1
ARGENTINA92,1,1992,14.731,9.61,24.8999,8,0,7664.577,87.26,21.85913,98,10180,64.0967,9.127016,1.086383,11.29528,63.51724,529.0098,6.094857,56.08925,467.145,0.807152,7.427992,61.86478,1
ARGENTINA93,1,1993,14.4066,5.72,10.6113,8,0,8006.272,87.64,19.50116,99,10869,63.4224,9.221581,1.020043,13.0349,63.97341,637.1882,7.060993,56.75811,565.3223,0.8976201,7.215304,71.86591,1
ARGENTINA94,1,1994,15.9311,8.01,4.1775,8,0,8541.21,88.02,19.07253,99,10736,62.7536,9.316149,1.004275,13.61785,67.22738,733.2561,7.481759,58.58867,639.0328,1.103162,8.638715,94.22337,1
ARGENTINA95,1,1995,16.9638,-4.02,3.3762,8,0,8082.145,88.4,18.36393,98.6,11290,62.0914,9.41214,0.99975,14.04793,68.88847,728.2064,7.819548,59.78612,631.9872,1.190515,9.102346,96.21912,1
ARGENTINA96,1,1996,18.1145,4.78,0.1556,8,0,8347.53,88.7,18.74387,98.6,11944,61.5665,9.455625,1.027581,13.3391,69.2822,724.2635,7.512468,59.98819,627.1055,1.163913,9.29402,97.15799,1
ARGENTINA97,1,1997,19.7584,8.6,0.5286,8,0,8969.409,89,19.54727,98.6,12013,61.0449,9.499107,1.045461,13.59008,69.29809,777.3207,7.507717,60.03336,673.3978,1.158638,9.264725,103.923,1
BOLIVIA73,2,1973,47.3636,5.37,31.4857,0,7,902.6725,41.22,,86,1805,86.7389,3.456765,4.845151,3.315935,36.59466,29.93203,0.1151366,1.270648,1.039307,3.200798,35.32402,28.89272,0
BOLIVIA74,2,1974,47.3636,7.19,62.8363,0,7,928.1592,41.36,,88,1856,86.7905,3.462803,3.303858,3.879977,37.33067,36.01236,0.1915753,1.843216,1.778124,3.688402,35.48745,34.23424,0
BOLIVIA75,2,1975,47.3636,6.49,7.9767,0,7,970.7922,41.5,,88.3,1942,86.8422,3.468842,3.339084,4.020244,36.60929,39.02821,0.386171,3.516565,3.748918,3.634073,33.09273,35.27929,0
BOLIVIA76,2,1976,47.3636,4.26,4.4942,0,7,1008.773,42.3,,88,2018,86.5621,3.474796,3.379607,4.614949,37.53602,46.55436,0.3507715,2.853026,3.538488,4.264177,34.683,43.01587,0
BOLIVIA77,2,1977,47.3636,3.5,8.107,0,7,1026.252,43.1,,87,2053,86.2828,3.48075,3.329441,4.601349,37.39564,47.22144,0.3419197,2.778816,3.508957,4.259429,34.61682,43.71248,0
BOLIVIA78,2,1978,47.3636,1.88,10.3558,0,7,1036.87,43.9,,87,2074,86.0043,3.486704,3.246025,5.418883,41.78202,56.18677,0.569149,4.388393,5.901335,4.849734,37.39362,50.28543,0
BOLIVIA79,2,1979,47.3636,0.564,19.7196,0,4,1032.319,44.7,,86,2065,85.7266,3.492658,3.078421,5.860311,45.7306,60.4971,0.7372506,5.753093,7.610777,5.12306,39.97751,52.88632,0
BOLIVIA80,2,1980,47.3636,-4.4,47.2416,0,7,1015.873,45.5,,85.9,2032,85.4497,3.498612,2.851726,5.711961,44.42476,58.02627,0.1407648,1.094798,1.429992,5.571196,43.32996,56.59628,0
BOLIVIA81,2,1981,47.7143,0.17,32.1343,0,7,997.2863,46.5,,86,1995,85.2361,3.508555,2.380848,4.600667,34.84298,45.88182,0.13,0.9845501,1.296472,4.470667,33.85843,44.58535,0
BOLIVIA82,2,1982,58.2222,-4.45,123.535,7,0,935.4,47.5,,86,1871,85.023,3.518496,2.954566,3.4575,38.62157,32.34146,0.08625,0.9634449,0.8067825,3.37125,37.65813,31.53467,0
BOLIVIA83,2,1983,54.8,-4.13,275.5859,7,0,879.5648,48.5,,60,1759,84.8104,3.528436,2.935247,,,,,,,,,,1
BOLIVIA84,2,1984,49.4672,0.3,1281.35,7,0,866.71,49.5,,58.6,1733,84.5983,3.538375,3.000998,4.784689,14.28571,41.46938,0,0,0,4.784689,14.28571,41.46938,1
BOLIVIA85,2,1985,41.8927,-1.68,11749.61,8,0,834.6056,50.5,,59,1669,84.3867,3.548312,3.680232,,,,,,,,,,1
BOLIVIA86,2,1986,47.0316,-2.57,276.3368,8,0,797.8286,51.52,,80,1596,83.7741,3.565298,4.350712,5.09861,47.44526,40.67817,2.801434,26.06882,22.35065,2.297176,21.37643,18.32753,1
BOLIVIA87,2,1987,43.6227,2.46,14.5787,8,0,800.7226,52.54,,93,1765,83.1654,3.582276,4.207851,5.717654,57.79543,45.78255,2.033599,20.55611,16.28348,3.684055,37.23933,29.49906,1
BOLIVIA88,2,1988,41.9063,2.91,16.0021,8,0,805.7517,53.56,,93,1786,82.5606,3.599247,4.320494,5.571495,42.51413,44.89241,1.601111,12.21751,12.90098,3.970384,30.29661,31.99144,1
BOLIVIA89,2,1989,45.6547,3.79,15.1735,8,0,817.4094,54.58,,93,1751,81.9598,3.61621,4.503284,6.254924,44.01331,51.12834,2.174256,15.29933,17.77257,4.080668,28.71397,33.35577,1
BOLIVIA90,2,1990,46.7033,4.64,17.1188,8,0,835.235,55.6,17,93,1853,81.3628,3.633164,4.776996,6.235835,40.42821,52.08388,2.907466,18.84971,24.28417,3.328369,21.5785,27.7997,1
BOLIVIA91,2,1991,48.445,5.27,21.444,8,0,858.4583,56.38,17.7,92,1919,81.045,3.671152,4.626092,6.82626,43.30239,58.60059,3.13088,19.86074,26.8773,3.695379,23.44164,31.72329,1
BOLIVIA92,2,1992,49.1108,1.65,12.0632,8,0,852.5446,57.16,17.1,92,1998,80.7283,3.709136,4.632317,7.576996,40.26068,64.59727,2.543836,13.51678,21.68733,5.033161,26.74391,42.90994,1
BOLIVIA93,2,1993,47.4671,4.27,8.5257,8,0,867.6575,57.94,18.1,91,2083,80.4129,3.747115,4.807065,9.264483,41.75419,80.38398,3.597858,16.21522,31.21708,5.666626,25.53897,49.1669,1
BOLIVIA94,2,1994,48.8609,4.67,7.8749,8,0,887.1079,58.72,18.2,90,2186,80.0986,3.785089,4.95113,9.299464,44.38688,82.49628,3.383268,16.14853,30.01324,5.916196,28.23834,52.48305,1
BOLIVIA95,2,1995,49.738,4.68,10.1922,8,0,906.3933,59.5,18.7,88.7,2202,79.787,3.822768,4.800342,8.745152,46.41093,79.26548,3.365907,17.86302,30.50835,5.379246,28.54791,48.75713,1
BOLIVIA96,2,1996,48.9662,4.1,12.4294,8,0,921.1913,60.1,18.7,88.7,2251,79.2675,3.847646,4.646869,9.410831,45.74963,86.69176,4.323673,21.01902,39.8293,5.087158,24.73061,46.86245,1
BOLIVIA97,2,1997,49.8625,4.19,4.709,8,0,937.2988,60.7,17,88.7,2269,78.7508,3.872516,4.70042,11.41932,55.26223,107.0331,6.195509,29.98232,58.07044,5.223808,25.27991,48.96269,1
BRAZIL73,3,1973,17.7401,13.98,,0,9,3174.757,59.04,29.8051,58,2134,81.6532,3.830815,,7.815706,53.33333,248.1297,5.666387,38.66667,179.894,2.149319,14.66667,68.23566,0
BRAZIL74,3,1974,21.9305,9.04,,2,6,3358.49,60.12,30.55224,55,2241,80.4657,3.882878,,7.784295,52.72727,261.4348,5.502691,37.27273,184.8073,2.281604,15.45455,76.62743,0
BRAZIL75,3,1975,19.0411,5.21,,2,6,3472.222,61.2,30.26367,52.6,2437,79.2937,3.934936,,9.138506,55.81395,317.3092,6.758687,41.27907,234.6766,2.379819,14.53488,82.6326,0
BRAZIL76,3,1976,16.4865,9.79,,2,6,3702.703,62.2,30.39708,52,2580,78.0086,3.976981,,8.876645,53.90335,328.6758,6.489134,39.4052,240.2733,2.387511,14.49814,88.40246,0
BRAZIL77,3,1977,15.1656,4.61,,2,6,3805.31,63.2,29.34483,51,2815,76.7417,4.019024,,8.70001,52.92683,331.0624,6.494938,39.5122,247.1525,2.205072,13.41463,83.90981,0
BRAZIL78,3,1978,14.5455,3.23,,2,6,3827.586,64.2,30.72027,50,3293,75.4927,4.061064,,9.291393,53.76,355.636,6.885586,39.84,263.5517,2.405807,13.92,92.08433,0
BRAZIL79,3,1979,16.3182,6.77,,2,6,3983.193,65.2,31.04104,48,3917,74.261,4.103103,,9.292184,56.82051,370.1256,6.943978,42.46154,276.5921,2.348205,14.35897,93.53355,0
BRAZIL80,3,1980,20.3778,9.11,,2,6,4237.705,66.2,33.48525,46.4,3889,73.0465,4.14514,1.062566,8.651124,47.21613,366.6091,6.642971,36.25603,281.5095,2.008153,10.9601,85.09961,0
BRAZIL81,3,1981,19.2152,-4.39,101.7247,2,6,3991.936,67.1,32.92008,46,3869,72.1663,4.143182,1.026552,9.365398,50.77743,373.8607,7.075259,38.36073,282.4398,2.290139,12.4167,91.42088,0
BRAZIL82,3,1982,15.8696,0.58,100.5434,2,5,3921.26,68,34.55996,46,3686,71.295,4.14123,1.047537,12.07729,66.66666,473.5821,8.05153,44.44444,315.7214,4.025765,22.22222,157.8607,0
BRAZIL83,3,1983,20.4268,-3.41,135.0279,2,5,3700,68.9,33.18975,41,3976,70.4324,4.139281,1.478737,10.52632,60,389.4737,7.894737,45,292.1053,2.631579,15,97.36842,0
BRAZIL84,3,1984,21.4744,5.27,192.1206,2,5,3804.511,69.8,33.87255,41.1,4444,69.5785,4.137336,1.69115,9.211845,62.96296,350.4657,6.773416,46.2963,257.6953,2.43843,16.66667,92.77032,0
BRAZIL85,3,1985,19.342,7.95,225.9922,9,0,4044.444,70.7,33.74749,42,5087,68.733,4.135396,1.802535,8.297258,58.08081,335.578,5.916306,41.41414,239.2817,2.380952,16.66667,96.29629,0
BRAZIL86,3,1986,15.1716,7.99,147.1424,9,0,4275.362,71.5,32.96908,43,5636,67.7918,4.172456,1.636213,8.92517,56.74741,381.5833,6.312925,40.13841,269.9004,2.612245,16.609,111.6829,0
BRAZIL87,3,1987,15.6527,3.6,228.3355,9,0,4364.286,72.3,31.95649,44,5861,66.8609,4.209519,1.483777,9.42569,62.12984,411.3641,5.883496,38.78132,256.7726,3.542193,23.34852,154.5914,0
BRAZIL88,3,1988,16.5808,-0.1,629.1123,10,0,4265.734,73.1,30.95472,45,5958,65.9404,4.246587,1.416085,9.560046,63.50387,407.8061,6.319861,41.98052,269.5885,3.240185,21.52336,138.2177,0
BRAZIL89,3,1989,13.2437,3.28,1430.728,10,0,4344.828,73.9,29.5288,46,5346,65.0299,4.283658,1.048855,13.02375,90.56693,565.8596,7.99425,55.59187,347.3364,5.0295,34.97505,218.5231,0
BRAZIL90,3,1990,15.1618,-4.3,2947.73,10,0,4074.324,74.7,,46.1,5442,64.1294,4.320733,0.874237,12.30435,156.3536,501.319,8.852174,112.4862,360.6662,3.452174,43.8674,140.6528,0
BRAZIL91,3,1991,16.5909,1.3,432.785,10,0,4073.333,75.44,25.34337,48,5726,62.7911,4.403127,1.017964,11.19237,69.30581,455.9026,8.547264,52.92668,348.1585,2.645108,16.37913,107.744,0
BRAZIL92,3,1992,19.2533,-0.5,951.6475,10,0,3973.856,76.18,24.65593,50,5877,61.4745,4.485556,1.106705,11.20655,73.49423,445.3322,8.629017,56.59038,342.9047,2.577535,16.90386,102.4275,0
BRAZIL93,3,1993,19.5993,4.9,1927.978,10,0,4116.129,76.92,24.95369,53,6218,60.1789,4.56802,1.101549,13.22267,73.82178,544.2622,10.10853,56.43564,416.0803,3.114138,17.38614,128.1819,0
BRAZIL94,3,1994,18.6748,5.9,2075.898,10,0,4305.732,77.66,23.65826,60,6572,58.9038,4.650519,1.032035,13.61378,72.04449,586.1729,10.27047,54.35162,442.219,3.343308,17.69288,143.9539,0
BRAZIL95,3,1995,17.2133,4.2,66.0067,10,0,4427.673,78.4,23.58356,63.9,6751,57.646,4.734729,0.9176666,,,,,,,,,,0
BRAZIL96,3,1996,16.3009,2.8,15.7577,10,0,4469.136,78.98,22.72617,63.9,6828,56.3495,4.774297,0.8939185,,,,,,,,,,0
BRAZIL97,3,1997,17.7403,3.2,6.9267,10,0,4554.878,79.56,22.87635,63.9,6625,55.0743,4.813897,0.9172119,,,,,,,,,,0
CHILE73,4,1973,29.1219,-4.94,361.5354,0,7,2098.158,77.12,26.4644,31.1,1432,75.55,5.240556,110.0205,13.86225,40.05038,290.8519,6.625981,19.14358,139.0235,7.236269,20.9068,151.8283,0
CHILE74,4,1974,40.0882,2.49,504.7288,0,7,2113.242,77.76,29.51594,43.6,1443,74.2504,5.291925,167.1619,12.99054,40.22215,274.5216,6.391999,19.79132,135.0784,6.598543,20.43083,139.4432,0
CHILE75,4,1975,52.8482,-11.36,374.7345,0,7,1838.057,78.4,20.25647,46.1,1488,72.9699,5.343303,318.282,14.77417,47.90961,271.5577,8.223545,26.66728,151.1534,6.550625,21.24234,120.4042,0
CHILE76,4,1976,45.9208,3.41,211.8092,0,7,1876.476,78.96,23.26941,52.5,1669,71.1217,5.385612,287.0017,13.77879,49.87763,258.5558,7.565514,27.38628,141.965,6.21328,22.49135,116.5907,0
CHILE77,4,1977,43.0438,8.7,91.9423,0,7,2007.793,79.52,21.74551,58.9,1948,69.3125,5.427926,262.7161,15.24618,52.55793,306.1118,8.387153,28.91291,168.3967,6.859028,23.64503,137.7151,0
CHILE78,4,1978,44.5086,7.46,40.122,0,7,2125.953,80.08,22.39173,65.3,2325,67.5411,5.470244,296.5152,15.59467,51.80214,331.5354,9.008607,29.92465,191.5187,6.586066,21.87749,140.0166,0
CHILE79,4,1979,49.3846,8.68,33.3559,0,7,2276.654,80.64,21.24105,73.1,2606,65.8063,5.512568,291.304,14.91788,53.98111,339.6284,8.814119,31.89435,200.667,6.103756,22.08676,138.9614,0
CHILE80,4,1980,49.7978,8.15,35.1391,0,7,2422.176,81.2,21.43641,76,2848,64.1069,5.554897,256.1801,15.16865,55.71318,367.4114,9.038884,33.19906,218.9377,6.129767,22.51412,148.4738,0
CHILE81,4,1981,43.1714,4.74,19.6864,0,7,2500.669,81.48,22.32573,77.4,2549,62.9974,5.60924,236.1216,17.04635,58.64865,426.2727,10.76198,37.02703,269.1215,6.284368,21.62162,157.1512,0
CHILE82,4,1982,40.6221,-10.32,9.941,0,7,2210.347,81.76,18.8416,79.3,2432,61.9027,5.663587,297.6209,21.63035,64.42308,478.1057,14.28571,42.54808,315.7639,7.344633,21.875,162.3419,0
CHILE83,4,1983,45.3274,-3.79,27.2573,0,6,2090.668,82.04,20.59498,48.4,2707,60.8225,5.717936,373.5343,19.8973,64.85355,415.9866,13.60719,44.35146,284.4811,6.290115,20.50209,131.5054,0
CHILE84,4,1984,49.5766,7.97,19.8602,0,6,2226.726,82.32,23.06314,48.4,3023,59.7565,5.772287,406.3404,19.91548,63.79019,443.4631,13.62916,43.65482,303.4841,6.286318,20.13536,139.9791,0
CHILE85,4,1985,53.8605,7.12,30.7037,0,6,2349.133,82.6,15.67502,48,3392,58.7044,5.826642,530.9526,17.68477,62.11921,415.4387,11.84012,41.58941,278.1402,5.844646,20.5298,137.2985,0
CHILE86,4,1986,55.1201,5.6,19.4767,0,6,2433.803,82.74,17.86772,50,3849,58.3023,5.886123,537.7812,16.11582,60.28447,392.2274,10.76338,40.26258,261.9595,5.352442,20.02188,130.2679,0
CHILE87,4,1987,57.6645,6.59,19.8733,0,6,2554.67,82.88,17.50821,52,4283,57.9022,5.945582,528.7451,14.13786,57.21925,361.1755,9.227042,37.34403,235.7205,4.910812,19.87522,125.455,0
CHILE88,4,1988,62.1746,7.31,14.6899,2,3,2693.953,83.02,18.05866,53,4667,57.5041,6.005022,536.1768,12.53802,50.7177,337.7683,8.178438,33.08271,220.3233,4.359581,17.635,117.4451,0
CHILE89,4,1989,67.1359,10.56,17.029,2,3,2928.162,83.16,18.03493,55,4813,57.108,6.06444,523.2244,11.7895,60.12483,345.2157,7.125374,36.33842,208.6425,4.664128,23.78641,136.5732,0
CHILE90,4,1990,65.972,3.7,26.036,9,0,2984.961,83.3,18.51203,56.7,5225,56.7138,6.123837,499.8005,11.70236,63.46041,349.3108,7.235561,39.23754,215.9787,4.466796,24.22287,133.3321,1
CHILE91,4,1991,61.8385,7.97,21.785,9,0,3168.24,83.52,19.07632,60,6025,56.6563,6.220923,489.8206,11.80894,62.67544,374.1356,7.049004,37.41228,223.3294,4.759937,25.26316,150.8062,1
CHILE92,4,1992,59.9358,12.28,15.4255,9,0,3499.472,83.74,18.98712,64,6487,56.5987,6.318007,453.8456,12.01185,62.12534,420.3515,6.94106,35.89918,242.9005,5.070794,26.22616,177.451,1
CHILE93,4,1993,57.445,6.99,12.7281,9,0,3681.596,83.96,16.97256,68,6785,56.5412,6.415091,462.2236,12.53407,62.3409,461.454,7.204451,35.83287,265.2388,5.329625,26.50802,196.2152,1
CHILE94,4,1994,57.2894,5.71,11.4424,9,0,3830.104,84.18,16.71141,72,7545,56.4837,6.512172,442.2454,12.44216,62.32732,476.5477,6.978266,34.95668,267.2748,5.463893,27.37064,209.2728,1
CHILE95,4,1995,59.2773,10.63,8.2335,9,0,4173,84.4,16.24408,74.5,8077,56.4274,6.611372,396.7733,11.99954,62.7907,500.7407,6.70892,35.10617,279.9632,5.290617,27.68453,220.7775,1
CHILE96,4,1996,58.4406,7.37,7.3916,9,0,4417.843,84.66,15.65695,74.5,8895,56.1076,6.707399,395.3484,12.77684,62.67836,564.4608,7.057752,34.62266,311.8004,5.719092,28.0557,252.6605,1
CHILE97,4,1997,56.1164,7.06,6.1014,9,0,4664.205,84.92,15.27332,74.5,8787,55.7891,6.803415,387.5377,12.95752,63.89991,604.3653,7.15015,35.26091,333.4977,5.80737,28.639,270.8676,1
COSTA RICA73,5,1973,68.3421,7.71,15.214,10,0,2184.365,40.66,20.13206,79,1949,88.7465,3.259006,102.2369,10.66719,61.10485,233.0104,4.812045,27.56483,105.1126,5.855146,33.54002,127.8978,1
COSTA RICA74,5,1974,81.8716,5.54,30.0737,10,0,2249.807,40.98,20.77756,76,2007,86.2003,3.306089,104.1227,10.55539,61.31868,237.4758,4.41132,25.62637,99.24618,6.144068,35.69231,138.2297,1
COSTA RICA75,5,1975,68.6098,2.1,17.3691,10,0,2235.772,41.3,20.39501,73.2,2074,83.7204,3.353171,104.6248,11.44897,63.10266,255.9729,5.075871,27.97639,113.4849,6.373103,35.12627,142.4881,1
COSTA RICA76,5,1976,63.8197,5.52,3.4858,10,0,2291.924,41.66,19.6952,76,2267,81.6853,3.400128,106.9261,12.60882,65.94991,288.9846,5.649062,29.54718,129.4722,6.95976,36.40273,159.5124,1
COSTA RICA77,5,1977,67.2037,8.9,4.1745,10,0,2421.482,42.02,18.99038,79,2526,79.6938,3.447088,109.3157,10.69462,58.00206,258.9683,4.545972,24.65499,110.0799,6.148646,33.34706,148.8884,1
COSTA RICA78,5,1978,64.2126,6.27,6.0147,10,0,2497.558,42.38,18.73822,83,2875,77.7446,3.494049,110.9409,13.72127,62.0024,342.6967,1.871233,8.455552,46.73513,11.85004,53.54684,295.9615,0
COSTA RICA79,5,1979,64.1162,4.94,9.1835,10,0,2539.915,42.74,18.30739,86,3116,75.8364,3.541012,113.1419,14.28117,60.57893,362.7296,1.899722,8.058383,48.25134,12.38145,52.52055,314.4782,0
COSTA RICA80,5,1980,63.2969,0.75,18.1267,10,0,2486.865,43.1,18.59922,89.3,3287,73.9678,3.587977,108.7095,15.13102,64.29597,376.2881,7.709214,32.75862,191.7177,7.421809,31.53736,184.5704,0
COSTA RICA81,5,1981,91.4445,-2.26,37.0566,10,0,2359.333,43.42,18.94446,89,3026,72.9331,3.65075,222.2013,13.37758,68.84463,315.6217,2.161007,11.12112,50.98536,11.21657,57.7235,264.6363,0
COSTA RICA82,5,1982,87.2488,-7.29,90.1234,10,0,2122.827,43.74,20.33545,89,2944,71.9116,3.713515,213.2552,12.30643,75,261.2442,2.051072,12.5,43.5407,10.25536,62.5,217.7035,1
COSTA RICA83,5,1983,72.8202,2.86,32.6205,10,0,2123.066,44.06,21.85596,68,3188,70.903,3.776273,182.3275,13.1467,60.71429,279.1132,3.093342,14.28571,65.67368,10.05336,46.42857,213.4395,1
COSTA RICA84,5,1984,68.3389,8.02,11.9506,10,0,2226.112,44.38,22.49339,66.7,3283,69.907,3.839024,184.1113,12.26919,60.60606,273.1258,2.453837,12.12121,54.62516,9.815349,48.48485,218.5007,1
COSTA RICA85,5,1985,63.1995,0.73,15.0517,10,0,2180.167,44.7,22.08697,67,3602,68.9234,3.901767,187.7565,12.12611,61.53846,264.3695,3.031528,15.38461,66.09237,9.094584,46.15385,198.2771,1
